Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.710919380187988,5.89133358001709,4.85311985015869,5.24551963806152,5.21478033065796,5.91669416427612,7.81063604354858,7.79286193847656,7.24135541915894,7.78270864486694,6.2508225440979,8.26507091522217,8.7762279510498,9.5131893157959,8.87255191802979,..,..,..,..
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,104.052787780762,113.9921875,121.034400939941,126.941436767578,161.840377807617,153.366546630859,166.056671142578,189.620056152344,334.158081054688,355.690124511719,426.430084228516,432.373321533203,424.46728515625,452.470184326172,492.611663818359,508.083526611328,511.546905517578,542.301696777344,..,..,..
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,203.165588378906,246.172698974609,250.17529296875,265.651947021484,257.287902832031,245.894897460938,260.251800537109,315.781860351563,367.840515136719,465.095031738281,448.253173828125,483.261657714844,587.032409667969,589.421875,671.714538574219,720.721435546875,671.81396484375,642.931457519531,..,..,..
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1267.42175292969,1324.44104003906,1356.34899902344,1235.48950195313,1186.91003417969,1436.51513671875,1505.42321777344,1563.10656738281,1630.81994628906,1710.755859375,1755.04528808594,1838.02758789063,2050.84643554688,2195.9775390625,2371.51806640625,2461.32299804688,2446.02856445313,2567.92431640625,..,..,..
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.7972793579102,79.4316635131836,46.3235206604004,52.6083793640137,66.5976409912109,57.8438987731934,72.4748001098633,97.6075134277344,132.581436157227,158.104797363281,104.243606567383,108.736976623535,105.927047729492,118.409217834473,94.9727172851563,87.66796875,80.998291015625,86.0107498168945,..,..,..
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,377.25244140625,437.980285644531,468.357971191406,552.81689453125,517.312927246094,497.482330322266,516.374450683594,584.611328125,537.934509277344,508.096252441406,555.771057128906,518.181640625,547.285095214844,589.743225097656,597.847900390625,558.639587402344,484.356689453125,503.636108398438,..,..,..
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,220.091634557846,248.636216931262,246.444523480939,239.555474483898,247.929673982968,245.663555118591,267.557218712136,286.397225600872,284.858935611637,376.208191528057,336.042420544438,355.9434656523,370.965576268979,422.686100481593,479.425106864457,526.536107531831,602.398516082672,574.67244967205,..,..,..
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,593.920349121094,586.146789550781,460.662536621094,472.991180419922,465.342681884766,540.613525390625,611.84619140625,717.443969726563,798.338684082031,941.994567871094,1020.63177490234,1115.17736816406,1202.03747558594,1256.79162597656,1256.7978515625,1393.30151367188,1127.27526855469,1388.16455078125,..,..,..
"Domestic general government health expenditure per capita, PPP (current international $)",SH.XPD.GHED.PP.CD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.1265335083008,34.9924926757813,35.3864936828613,42.5980377197266,52.1656074523926,70.4958724975586,88.9389572143555,106.575637817383,108.027221679688,114.536437988281,110.716583251953,117.470443725586,120.811813354492,110.25016784668,126.80590057373,140.943542480469,144.785293579102,132.588287353516,..,..,..
