Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.0878982543945,69.6471710205078,74.1106414794922,77.8740539550781,85.4842758178711,81.8110580444336,96.2177352905273,104.692665100098,104.489875793457,101.69474029541,107.234306335449,118.273857116699,129.25846862793,144.166885375977,132.750457763672,..,..,..,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Algeria,DZA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.0048828125,76.6246109008789,82.0090484619141,80.5522155761719,103.125366210938,108.696792602539,119.685913085938,136.408294677734,142.894409179688,190.648452758789,196.699264526367,200.919952392578,217.641815185547,240.020858764648,260.781341552734,301.892211914063,320.512237548828,331.667449951172,..,..,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1781.58435058594,1818.59399414063,1927.88024902344,2041.76135253906,2163.28369140625,2304.888671875,2469.19189453125,2535.01342773438,2353.08911132813,2255.3740234375,2182.44189453125,2172.2900390625,2363.865234375,2456.2646484375,2591.97998046875,2631.85375976563,2544.32739257813,2669.31762695313,..,..,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.6387157440186,92.1149215698242,70.0290985107422,73.4244995117188,87.0270614624023,67.2542037963867,54.4087295532227,66.4418792724609,68.3087692260742,66.5793685913086,58.1283111572266,54.3738327026367,52.8705787658691,67.5834579467773,74.8451843261719,92.4788436889648,95.8293228149414,94.0543365478516,..,..,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,294.000457763672,317.834045410156,317.047760009766,346.556304931641,356.741973876953,398.938262939453,450.82080078125,496.478912353516,477.621734619141,382.837738037109,419.239959716797,433.778289794922,460.4873046875,465.283752441406,483.931823730469,447.374633789063,501.961944580078,566.878356933594,..,..,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Arab World,ARB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,175.214774352023,186.315306083964,192.031159120666,190.748721487467,194.349453151932,198.052431450805,206.469459724428,223.222356953385,231.885182088935,257.395285102278,258.879249821937,259.597569652265,282.098920631053,313.75123211246,323.353219669397,384.380863921647,427.655763185989,428.241334534548,..,..,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,490.896026611328,480.304229736328,367.108184814453,388.543823242188,376.512329101563,498.341186523438,533.800231933594,562.874389648438,546.781005859375,550.497009277344,552.710632324219,522.282775878906,444.964538574219,425.767395019531,373.391967773438,395.079132080078,388.199676513672,518.819396972656,..,..,..
"Domestic private health expenditure per capita, PPP  (current international $)",SH.XPD.PVTD.PP.CD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.6896018981934,64.5425491333008,176.28971862793,197.658462524414,178.598175048828,176.385330200195,201.076171875,212.142684936523,345.585388183594,394.783142089844,473.040191650391,520.176574707031,557.752563476563,699.962768554688,717.393432617188,735.074645996094,718.769592285156,855.597412109375,..,..,..
